Scanner,EPC,RSSI (raw),Antenna,Count,Last Seen
Scan_02,9999000000000004,77,2,20,19:53:56
Scan_02,9999000000000002,82,4,1,19:53:41
Scan_02,9999000000000008,79,2,3,19:53:55
Scan_02,9999000000000005,77,4,7,19:53:56
Scan_02,BB00000000000009,92,1,1,19:53:43
Scan_02,9999000000000003,85,2,2,19:53:43
Scan_02,9999000000000007,84,2,12,19:53:55
Scan_02,9999000000000006,86,1,1,19:53:45
Scan_02,AA00000000000010,79,2,2,19:53:50
Scan_02,E28011704000021CDFDB544E,74,3,1,19:53:49
Scan_02,9999000000000001,77,2,1,19:53:52
Scan_02,E28011704000021CDFDB543E,79,4,1,19:53:53
